"Nazwa_ogłoszenia","Cena","Cena_za_metr","Liczba_pokoi","Powierzchnia","Osiedle","Dzielnica","Forma_własności","Stan","Piętro","Balkon_taras_ogródek","Czynsz","Miejsce_parkingowe","Ogrzewanie","Rynek","Typ_ogłoszeniodawcy","Rok_budowy","Rodzaj_zabudowy","Okna","Winda","Zabezpieczenia","Informacje_dodatkowe"
"WolaRE Ostroroga 21 , 2 piętro, 3 pokoje, 54 m",1120000,20741,3,54,"Młynów","Wola","pełna własność","do zamieszkania","2/6","balkon","740 zł",NA,"miejskie","wtórny","prywatny",2020,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","klimatyzacja"
"BEZPOŚREDNIO 2 pokoje Gocław 48m2/balkon/garaż",908000,18830,2,48.22,"Gocław","Praga-Południe","pełna własność","do zamieszkania","3/7","balkon","650 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2021,"apartamentowiec",NA,"tak","domofon / wideofon, monitoring / ochrona","oddzielna kuchnia"
"Kawalerka w centrum Warszawy",549000,21960,1,25,"Muranów","Śródmieście","spółdzielcze wł. prawo do lokalu",NA,"9/9","balkon","600 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",1966,NA,NA,"tak","domofon / wideofon","piwnica"
"5pok+2miejsca postojowe|7min Metro Daszyńskiego",2431700,21652,5,112.31,"Czyste","Wola",NA,"do wykończenia","7/8","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2023,"apartamentowiec",NA,"tak","system alarmowy, teren zamknięty, monitoring / ochrona","inny"
"4pok KABATY | 2001r. | 2 x GARAŻ, PIWNICA | METRO",1950000,15175,4,128.5,"Kabaty","Ursynów","pełna własność","do zamieszkania","parter/5","balkon","1 463 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2001,"apartamentowiec",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe","cegła"
"Gotowe do wejścia | 3 pok. | Doskonała lokalizacja",990000,17755,3,55.76,"Mirów","Wola",NA,"do zamieszkania","parter/10","balkon","800 zł",NA,NA,"wtórny","biuro nieruchomości",1970,"blok",NA,"tak",NA,"2024-01-10"
"Sprawdź tą ofertę nim będzie za późno",910000,14967,2,60.8,"Chomiczówka","Bielany","pełna własność","do zamieszkania","5/14","balkon","873 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2005,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","pustak"
"Mieszkanie przy prestiżowej Al. Szucha",1050000,20504,3,51.21,"Śródmieście Południowe","Śródmieście","pełna własność","do zamieszkania","1/4",NA,"750 zł",NA,"miejskie","wtórny","biuro nieruchomości",1962,"blok",NA,"tak",NA,"cegła"
"Malborska 4-pokojowe mieszkanie + komórka + mp.",1650000,18750,4,88,"Bródno-Podgrodzie","Targówek","pełna własność","do zamieszkania","3/3","balkon","1 100 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2009,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Nowoczesne 3 pok. z 2 m. postojowymi i dużą loggią",950000,14984,3,63.4,"Nowodwory","Białołęka","pełna własność","do zamieszkania","> 10/12",NA,"1 100 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2022,"apartamentowiec",NA,"tak",NA,"pom. użytkowe"
"gotowe 3pok|super cena|Praga PŁd-13min do Centrum",962237,14186,3,67.83,"Gocław","Praga-Południe",NA,"do wykończenia","1/5","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2023,"apartamentowiec",NA,"tak","system alarmowy, domofon / wideofon, monitoring / ochrona","inny"
"mieszkanie 3-POKOJE z GARDEROBĄ przy ul. Poematu",788964,12405,3,63.6,"Falenica","Wawer",NA,"do wykończenia","1/5","balkon",NA,NA,"miejskie","pierwotny","deweloper",2025,"blok",NA,"tak","domofon / wideofon, monitoring / ochrona","telewizja kablowa, internet, telefon"
"3-POKOJOWE MIESZKANIE - pod klucz | bez PCC",720721.08,12232,3,58.92,"Szamocin","Białołęka","pełna własność","do zamieszkania","parter/2","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","deweloper",2023,"blok",NA,"tak","domofon / wideofon, monitoring / ochrona","silikat"
"65m2|Praga Płd|przystanek 150m|Centrum 13min|cena!",897427,13862,3,64.74,"Gocław","Praga-Południe",NA,"do wykończenia","2/5","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2023,"apartamentowiec",NA,"tak","system alarmowy, domofon / wideofon, monitoring / ochrona","inny"
"*** FUNKCJONALNE 4-pokoje z 44 m2 z ogródkiem ***",924420,9332,4,99.06,"Szamocin","Białołęka","pełna własność","do wykończenia","parter/3","taras",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","deweloper",2025,"blok",NA,"tak","domofon / wideofon, monitoring / ochrona","silikat"
"3pok-świetna cena|gotowe do odbioru|Centrum 13min",876557,13542,3,64.73,"Gocław","Praga-Południe",NA,"do wykończenia","parter/5","ogródek",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2023,"apartamentowiec",NA,"tak","system alarmowy, domofon / wideofon, monitoring / ochrona","inny"
"gotowe 3pok|Gocław|Centrum 13min|super cena!!",834758,13631,3,61.24,"Gocław","Praga-Południe",NA,"do wykończenia","parter","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2023,"apartamentowiec",NA,"tak","system alarmowy, domofon / wideofon, monitoring / ochrona","inny"
"WŁAŚCICIEL - TARAS 60m2 na dachu - ostatnie piętro",3495000,34950,3,100,"Nowe Miasto","Śródmieście","pełna własność","do wykończenia","4/4","balkon, taras",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","prywatny",2022,"apartamentowiec",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Właściciel- Ludwiki DD - WIDOK NA ZIELEŃ - 2x gar",2399000,22848,4,105,"Czyste","Wola","pełna własność","do wykończenia","2/8","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","prywatny",2023,"apartamentowiec",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","klimatyzacja, pom. użytkowe"
"800m Metro Wawrzyszew/Zielone Bielany",825000,11029,3,74.8,"Wawrzyszew","Bielany",NA,"do remontu","3/10","balkon","1 200 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1993,"blok",NA,"tak","monitoring / ochrona","żelbet"
"Mieszkanie 3 pokojowe - Branickiego",1300000,18898,3,68.79,"Błonia Wilanowskie","Wilanów","pełna własność","do zamieszkania","1/4","balkon",NA,"garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2017,"blok",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","klimatyzacja, piwnica"
"Cicha inwestycja w pobliżu Metra Kondratowicza",638000,13434,3,47.49,"Bródno-Podgrodzie","Targówek","pełna własność","do wykończenia","parter/2","ogródek",NA,NA,"gazowe","pierwotny","biuro nieruchomości",2023,NA,NA,"nie",NA,"cegła"
"2 Pokoje | | Metro Płocka | Kamienica",675000,16646,2,40.55,"Młynów","Wola","pełna własność","do zamieszkania","parter/4",NA,"920 zł",NA,"miejskie","wtórny","biuro nieruchomości",1960,"kamienica",NA,"nie","domofon / wideofon","cegła"
"Komfortowe mieszkanie z super widokiem i tarasem",1499000,16118,4,93,"Czerniaków","Mokotów","pełna własność","do zamieszkania","4/4","balkon","1 425 zł",NA,"miejskie","wtórny","biuro nieruchomości",2009,NA,NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka"
"ostatnie 3pok z tarasem|Wilanów|piekne miejsce",1180575,14635,3,80.67,"Zawady","Wilanów",NA,"do wykończenia","2/2","taras",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",NA,"apartamentowiec",NA,"tak","system alarmowy, domofon / wideofon, monitoring / ochrona","inny"
"PRZESTRONNE 2-pokoje || OGRÓDEK || Płochocińska",637519,9593,2,66.46,"Szamocin","Białołęka","pełna własność","do wykończenia","parter/3","taras",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","deweloper",2025,"blok",NA,"tak","domofon / wideofon, monitoring / ochrona","silikat"
"54m2|Wilanów|spokojna okolica|zaraz gotowe|cena!",747880,13961,2,53.57,"Zawady","Wilanów",NA,"do wykończenia","1/2","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",NA,"apartamentowiec",NA,"tak","system alarmowy, domofon / wideofon, monitoring / ochrona","inny"
"Dwupoziomowe mieszkanie PREMIUM, 3 pok 73m2 od wł.",1240000,16986,3,73,"Żerań","Białołęka","pełna własność","do zamieszkania","6/7","balkon, taras",NA,"garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2017,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe","cegła"
"2pok z pięknym widokiem|Centrum 25min|Wilanów|cena",715400,13989,2,51.14,"Zawady","Wilanów",NA,"do remontu","1/2","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",NA,"apartamentowiec",NA,"tak","system alarmowy, domofon / wideofon, monitoring / ochrona","inny"
"Przestrzeń do Odkrycia! 2-pokoje✔41,6m2✔parking",830000,19952,2,41.6,"Muranów","Śródmieście","spółdzielcze wł. prawo do lokalu","do remontu","1/7","balkon","600 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",NA,"blok",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","inny"
"Nowoczesny apartament na ŻOLIBORZU ARTYSTYCZNYM",2050000,28711,3,71.4,"Stary Żoliborz","Żoliborz","pełna własność",NA,"5/5","balkon, taras","800 zł","garaż/miejsce parkingowe",NA,"wtórny","prywatny",NA,"blok",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","pom. użytkowe"
"BEZPOŚREDNIO 67m2 Włodarzewska + duża loggia",1250000,18596,3,67.22,"Szczęśliwice","Ochota","pełna własność","do zamieszkania","5/8","balkon","730 zł","garaż/miejsce parkingowe",NA,"wtórny","prywatny",2015,"blok",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","piwnica, pom. użytkowe"
"3-pokojowe mieszkanie bezpośrednio ul. Żytnia",915000,15535,3,58.9,"Młynów","Wola","pełna własność","do zamieszkania","parter/3",NA,"700 zł",NA,"miejskie","wtórny","prywatny",1950,"kamienica",NA,"nie","drzwi / okna antywłamaniowe, domofon / wideofon","cegła"
"62 m2 METRO Słodowiec Park Kellera Las Bielański",1237000,19952,3,62,"Marymont-Kaskada","Bielany","pełna własność","do wykończenia","4/5","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2024,"apartamentowiec",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe","cegła"
"Kawalerka Na Bemowie Przy Metrze Chrzanów - 2018 R",549000,20678,1,26.55,"Chrzanów","Bemowo","pełna własność","do zamieszkania","1/3","balkon","354 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2018,"apartamentowiec",NA,"tak","system alarmowy, monitoring / ochrona","meble"
"ost 2pok z ogródkiem|Wilanów|super miejsce i cena!",772560,14624,2,52.83,"Zawady","Wilanów",NA,"do wykończenia","parter/2","ogródek",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",NA,"apartamentowiec",NA,"tak","system alarmowy, domofon / wideofon, monitoring / ochrona","inny"
"Komfortowe 130 m2 na Starym Żoliborzu",3510000,27000,3,130,"Stary Żoliborz","Żoliborz","pełna własność","do zamieszkania","3/9","taras",NA,"garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2004,"apartamentowiec",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"MIESZKANIE wykończone ~ 3-pokoje | bez PCC",764636.69,12078,3,63.31,"Szamocin","Białołęka","pełna własność","do zamieszkania","1/2","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","deweloper",2023,"blok",NA,"tak","domofon / wideofon, monitoring / ochrona","silikat"
"Stylowy apartament w nowo wykończonej kamienicy!",1400000,21368,2,65.52,"Grochów","Praga-Południe",NA,"do zamieszkania","parter/4",NA,NA,NA,"miejskie","pierwotny","biuro nieruchomości",1939,"kamienica",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"2-POKOJOWE mieszkanie na II PIĘTRZE ul. Poematu",492775.5,13322,2,36.99,"Falenica","Wawer",NA,"do wykończenia","2/5","balkon",NA,NA,"miejskie","pierwotny","deweloper",2025,"blok",NA,"nie","domofon / wideofon, monitoring / ochrona","telewizja kablowa, internet, telefon"
"Penthouse | Taras na dachu | Wysoki standard",3500000,36269,4,96.5,"Sady Żoliborskie","Żoliborz",NA,"do zamieszkania","3/3","balkon, taras",NA,"garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2018,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"2 pokoje▪️balkon▪️2x garaż▪️do wprowadzenia",830000,15091,2,55,"Nowodwory","Białołęka","pełna własność","do zamieszkania","1/2","balkon","890 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",NA,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","inny"
"4-pokojowe mieszkanie 110m2 + ogródek Bez Prowizji",2155920,19500,4,110.56,"Siekierki","Mokotów","pełna własność","do wykończenia","parter/2","taras, ogródek",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}4"
"3-pokojowe mieszkanie 59m2 + ogródek",1125306,18900,3,59.54,"Siekierki","Mokotów","pełna własność","do wykończenia","parter/2","taras, ogródek",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"2-pokojowe mieszkanie 42m2 + ogródek Bezpośrednio",826426,19300,2,42.82,"Siekierki","Mokotów","pełna własność","do wykończenia","parter/2","taras, ogródek",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"Sprzedam bezpośrednio mieszkanie Górny Mokotów",1e+06,20362,2,49.11,"Stary Mokotów","Mokotów","pełna własność","do zamieszkania","2/4","balkon","800 zł",NA,"miejskie","wtórny","prywatny",NA,"blok",NA,"nie",NA,"piwnica"
"Kawalerka 31,26m2, Białołęka",495000,15835,1,31.26,"Grodzisk","Białołęka","pełna własność",NA,"parter/2","ogródek","392 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",NA,NA,NA,"nie",NA,"1"
"SŁONECZNE I PRZYTULNE MIESZKANIE - 49,72 m2, Wawer",695140,13981,2,49.72,"Wawer","Wawer","pełna własność","do zamieszkania","2/3","balkon","870 zł","garaż/miejsce parkingowe",NA,"wtórny","prywatny",2003,"blok",NA,"nie","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","pustak"
"Mieszkanie bezczynszowe w wysokim standardzie bezp",1200000,7595,5,158,"Stary Rembertów","Rembertów","pełna własność","do zamieszkania",NA,"balkon, ogródek, taras",NA,"garaż/miejsce parkingowe",NA,"wtórny","prywatny",NA,NA,NA,"nie","teren zamknięty, domofon / wideofon, monitoring / ochrona","klimatyzacja, dwupoziomowe, pom. użytkowe"
"Gotowiec inwestycyjny 3-pak. METRO 11% ROI",359000,19944,1,18,"Młynów","Wola","pełna własność","do zamieszkania","parter/3",NA,"200 zł",NA,"miejskie","wtórny","prywatny",NA,"kamienica",NA,"nie","domofon / wideofon","cegła"
"Apartament Na Saskiej Kępie",2650000,21116,4,125.5,"Saska Kępa","Praga-Południe","pełna własność",NA,"1/5","balkon, taras",NA,"garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2005,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","klimatyzacja, piwnica, pom. użytkowe"
"Kawalerka z potencjałem",480000,17778,1,27,"Sadyba","Mokotów","pełna własność",NA,"8/10",NA,"500 zł",NA,NA,"wtórny","biuro nieruchomości",1970,NA,NA,"nie",NA,"2024-01-13"
"Mieszkanie z ogródkiem|15 min do Centrum|Pkp|Ciche",799000,14794,2,54.01,"Gocławek","Praga-Południe","pełna własność",NA,"parter/4","ogródek","720 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2012,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka"
"3-pokojowe mieszkanie 55m2 + balkon Bez Prowizji",637330,11500,3,55.42,"Kawęczyn-Wygoda","Rembertów","pełna własność","do wykończenia","1/5","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"2-pokojowe mieszkanie 37m2 + balkon Bez Prowizji",481520,13000,2,37.04,"Kawęczyn-Wygoda","Rembertów","pełna własność","do wykończenia","5/5","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"2 pokoje Lake Park Mokotów / garaż / komórka",640000,20827,2,30.73,"Służew","Mokotów","pełna własność","do zamieszkania","2/7","balkon","500 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2016,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","inny"
"Ochota 3 pokoje plus kuchnia przy parku",778000,16208,3,48,"Rakowiec","Ochota","pełna własność","do zamieszkania","parter/5",NA,"500 zł",NA,"miejskie","wtórny","prywatny",1970,"blok",NA,"nie",NA,"pustak"
"Po Odbiorze, Cesja, Kawalerka, Bulwary Praskie",550000,18376,1,29.93,"Pelcowizna","Praga-Północ","pełna własność","do wykończenia",NA,NA,NA,NA,"miejskie",NA,"biuro nieruchomości",2022,NA,NA,"tak","monitoring / ochrona",".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}pierwotny"
"Po remoncie ★ 2 pokoje z balkonem ★ Bezpośrednio",598000,17333,2,34.5,"Skorosze","Ursus",NA,"do zamieszkania",NA,"balkon","400 zł",NA,"miejskie","wtórny","prywatny",1962,"blok",NA,"nie","domofon / wideofon","cegła"
"Na sprzedaż | 3 pokoje | Targówek",1165000,17668,3,65.94,"Bródno-Podgrodzie","Targówek","pełna własność","do zamieszkania","3/3","balkon","800 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2016,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","pustak"
"Świetny temat/2 garaże/Duży balkon/blisko Parku",814999,15673,3,52,"Chomiczówka","Bielany",NA,"do wykończenia","2/7","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2023,NA,NA,"nie",NA,"pom. użytkowe"
"Właściciel 3-stronne - 2x garaż + kom.lok.",1999000,22211,4,90,"Czyste","Wola","pełna własność","do wykończenia","1/4","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","prywatny",2023,"apartamentowiec",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","pom. użytkowe"
"Segment 123 m2 z ogródkiem i miejscem postojowym",997000,8116,4,122.84,"Czechowice","Ursus","pełna własność","do wykończenia","parter/2","ogródek",NA,"garaż/miejsce parkingowe","gazowe","pierwotny","biuro nieruchomości",2025,NA,NA,"nie","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","silikat"
"Mieszkanie do remontu, świetna lokalizacja!",750000,15957,2,47,"Marymont-Potok","Żoliborz","pełna własność",NA,"2/12","balkon","750 zł",NA,NA,"wtórny","biuro nieruchomości",NA,NA,NA,"nie",NA,"piwnica"
"Energooszczędne mieszkanie w wysokim standardzie",825000,15000,2,55,"Nowodwory","Białołęka","pełna własność","do zamieszkania","1/2","balkon",NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2012,"blok",NA,"tak","monitoring / ochrona","meble"
"Najlepsza lokalizacja przy rondzie Wiatraczna!",665000,17051,2,39,"Grochów","Praga-Południe","pełna własność","do zamieszkania","5/6","balkon","450 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2000,"blok",NA,"tak",NA,"pustak"
"Apartament+2 komórki i 2 miejsca postojowe w cenie",2500000,26061,4,95.93,"Grochów","Praga-Południe","pełna własność","do zamieszkania","3/4","balkon, taras","1 400 zł","garaż/miejsce parkingowe","gazowe","wtórny","prywatny",2022,"apartamentowiec",NA,"tak","domofon / wideofon, rolety antywłamaniowe","piwnica, dwupoziomowe"
"4-pok. 84m2 |garderoba|2 łazienki|3 garaże|komórka",1110000,13178,4,84.23,"Szamoty","Ursus",NA,"do wykończenia","5/5","balkon",NA,"garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2023,"blok",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","cegła"
"Mieszkanie 3 pokojowe, ogródek, miejsce garażowe",739000,14839,3,49.8,"Kobiałka","Białołęka","pełna własność","do zamieszkania","parter/3","ogródek, taras",NA,"garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2016,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","piwnica, pom. użytkowe"
"67m2 | Mieszkanie Biuro | Siedmiogrodzka 3",1900000,28358,4,67,"Czyste","Wola",NA,NA,"parter",NA,NA,NA,NA,"wtórny","biuro nieruchomości",NA,NA,NA,"nie",NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}4"
"Mieszkanie 86,69 m2 z balkonem i miejscem post.",731500,8438,3,86.69,"Czechowice","Ursus","pełna własność","do wykończenia","2/2","balkon",NA,"garaż/miejsce parkingowe","gazowe","pierwotny","biuro nieruchomości",2025,NA,NA,"nie","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","silikat"
"Właściciel - 2x garaż - bez prowizji",2499000,29400,3,85,"Stara Ochota","Ochota","pełna własność","do zamieszkania","1/5","balkon",NA,"garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2022,"apartamentowiec",NA,"tak","domofon / wideofon, monitoring / ochrona","klimatyzacja"
"Bez prowizji - Jana Kazimierza - Osiedle Vola",1299000,18964,3,68.5,"Odolany","Wola","pełna własność","do wykończenia","4/8","balkon","1 000 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2024,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","telewizja kablowa, internet, telefon"
"Mieszkanie z kominkiem / Apartment with fireplace",1841000,17634,3,104.4,"Natolin","Ursynów","pełna własność","do zamieszkania","2/2","balkon, ogródek, taras","1 300 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",1993,NA,NA,"nie","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"FUNKCJONALNE 2-pokoje + garderoba Zakątek Harmonia",625295,9593,2,65.18,"Szamocin","Białołęka","pełna własność","do wykończenia","parter/3","taras",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","deweloper",2025,"blok",NA,"tak","domofon / wideofon, monitoring / ochrona","silikat"
"Mieszkanie w Centrum Warszawy [do remontu]",994140,21000,2,47.34,"Śródmieście Północne","Śródmieście","pełna własność","do remontu","2/4",NA,NA,NA,NA,"wtórny","prywatny",1956,"kamienica",NA,"nie","domofon / wideofon","inny"
"Ładne 3 pokoje w niskiej zabudowie",8e+05,12446,3,64.28,"Żerań","Białołęka","pełna własność",NA,"2/3","balkon","850 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2006,"blok",NA,"nie","monitoring / ochrona","piwnica, pom. użytkowe"
"ul. Aluzyjna 2 pokoje 49 m2 garderoba balkon",559000,11408,2,49,"Nowodwory","Białołęka","pełna własność","do zamieszkania","3/9",NA,"438 zł",NA,NA,"wtórny","biuro nieruchomości",2002,"apartamentowiec",NA,"tak",NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"2/3 pokoje - mieszkanie do wprowadzenia",663000,13000,2,51,"Grodzisk","Białołęka","pełna własność","do zamieszkania","3/3","balkon","650 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2008,"blok",NA,"nie","monitoring / ochrona","cegła"
"Nowoczesny i funkcjonalny apartament na Mokotowie",1080000,17705,2,61,"Służewiec","Mokotów","pełna własność","do zamieszkania","> 10/11","balkon","1 000 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2013,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"2 pokojowe, przytulne mieszkanie - bezposzrednio",555000,13214,2,42,"Brzeziny","Białołęka","pełna własność","do zamieszkania","1/3","balkon",NA,NA,NA,"wtórny","prywatny",2021,"blok",NA,"tak","domofon / wideofon","zmywarka, lodówka, meble, kuchenka, pralka"
"Bez prowizji - 5 pokoi - 2 tarasy - 2 garaże",2490000,24653,5,101,"Czyste","Wola","pełna własność","do wykończenia","5/5","balkon, taras",NA,"garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2023,"apartamentowiec",NA,"tak",NA,"oddzielna kuchnia, pom. użytkowe"
"Apartament z ogrodem przy Łazienkach Królewskich",3775000,32554,4,115.96,"Ujazdów","Śródmieście",NA,NA,"parter/5","ogródek",NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2020,NA,NA,"nie",NA,"meble"
"Bardzo piękne mieszkanie z nowoczesnym remontem!",2575000,34666,3,74.28,"Czyste","Wola",NA,"do zamieszkania","1/16",NA,"1 173 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2016,"apartamentowiec",NA,"tak","domofon / wideofon","meble"
